"filename", "language", "PHP", "CSS", "comment", "blank", "total"
"c:\laragon\www\proGES-Project\STYLE\plannings.css", "CSS", 0, 14, 0, 0, 14
"c:\laragon\www\proGES-Project\editMark.php", "PHP", 38, 0, 0, 4, 42
"c:\laragon\www\proGES-Project\globalView.php", "PHP", 62, 0, 0, 15, 77
"c:\laragon\www\proGES-Project\plannings.php", "PHP", 18, 0, 0, 0, 18
"c:\laragon\www\proGES-Project\taskEdit.php", "PHP", 2, 0, 0, 2, 4
"Total", "-", 120, 14, 0, 21, 155
