"filename", "language", "PHP", "CSS", "comment", "blank", "total"
"c:\laragon\www\proGES-Project\STYLE\login.css", "CSS", 0, -12, 0, 5, -7
"c:\laragon\www\proGES-Project\STYLE\navbar.css", "CSS", 0, -32, 0, -8, -40
"c:\laragon\www\proGES-Project\STYLE\navbarAdmin.css", "CSS", 0, 97, 0, 16, 113
"c:\laragon\www\proGES-Project\STYLE\newsCreate.css", "CSS", 0, -1, 0, 0, -1
"c:\laragon\www\proGES-Project\addClasses.php", "PHP", -1, 0, 0, 0, -1
"c:\laragon\www\proGES-Project\addMark.php", "PHP", -1, 0, 0, 0, -1
"c:\laragon\www\proGES-Project\addSubject.php", "PHP", -1, 0, 0, 0, -1
"c:\laragon\www\proGES-Project\admin.php", "PHP", -1, 0, 0, 0, -1
"c:\laragon\www\proGES-Project\classesManage.php", "PHP", -1, 0, 0, 0, -1
"c:\laragon\www\proGES-Project\createUser.php", "PHP", -1, 0, 0, 0, -1
"c:\laragon\www\proGES-Project\deleteClasses.php", "PHP", -1, 0, 0, 0, -1
"c:\laragon\www\proGES-Project\editMark.php", "PHP", -1, 0, 0, 0, -1
"c:\laragon\www\proGES-Project\editUser.php", "PHP", -1, 0, 0, 0, -1
"c:\laragon\www\proGES-Project\globalView.php", "PHP", -1, 0, 0, 0, -1
"c:\laragon\www\proGES-Project\index.php", "PHP", 3, 0, 0, 0, 3
"c:\laragon\www\proGES-Project\modifyClasses.php", "PHP", -1, 0, 0, 0, -1
"c:\laragon\www\proGES-Project\nav.php", "PHP", 0, 0, 0, 2, 2
"c:\laragon\www\proGES-Project\newsCreate.php", "PHP", -1, 0, 0, 0, -1
"c:\laragon\www\proGES-Project\permCheck.php", "PHP", 19, 0, 0, 4, 23
"c:\laragon\www\proGES-Project\planningManager.php", "PHP", -1, 0, 0, 0, -1
"c:\laragon\www\proGES-Project\plannings.php", "PHP", 3, 0, 0, -1, 2
"c:\laragon\www\proGES-Project\saveMark.php", "PHP", -1, 0, 0, 1, 0
"c:\laragon\www\proGES-Project\selectClasses.php", "PHP", -1, 0, 0, 0, -1
"c:\laragon\www\proGES-Project\taskEdit.php", "PHP", -1, 0, 0, 0, -1
"c:\laragon\www\proGES-Project\usersManage.php", "PHP", -1, 0, 0, 0, -1
"Total", "-", 8, 52, 0, 19, 79
